transaction_id,date,branch_id,branch_name,kota,provinsi,rating_cabang,customer_name,product_id,product_name,actual_price,discount_percentage,persentase_gross_laba,nett_sales,nett_profit,rating_transaksi,inventory_ID,opname_stock
TRX9985069,1/1/2020,97894,Kimia Farma - Klinik & Apotek,Subang,Jawa Barat,4.5,George Martinez,KF395,Drugs for obstructive airway diseases,755400,0.04,30,755097.84,226529.352,3.3,INV7187471,53
TRX4948708,1/1/2020,35578,Kimia Farma - Klinik-Apotek-Laboratorium,Banjarmasin,Kalimantan Selatan,4.4,Melissa Kaiser,KF498,Drugs for obstructive airway diseases,178600,0.08,20,178457.12,35691.424,3.3,INV4687524,100
TRX8213514,1/1/2020,83975,Kimia Farma - Klinik & Apotek,Banjarmasin,Kalimantan Selatan,4,Jared Sellers,KF600,"Other analgesics and antipyretics, Salicylic acid and derivatives",843000,0.06,30,842494.2,252748.26,3.3,INV8099000,69
TRX9941602,1/1/2020,69958,Kimia Farma - Klinik & Apotek,Palembang,Sumatera Selatan,4.7,Tracy King,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.12,30,905412.2,271623.66,3,INV2295405,74
TRX3125025,1/1/2020,25432,Kimia Farma - Apotek,Cirebon,Jawa Barat,4.2,Amanda Garcia,KF801,"Other analgesics and antipyretics, Salicylic acid and derivatives",530300,0.06,30,529981.82,158994.546,3.5,INV4242186,46
TRX1290104,1/1/2020,94359,Kimia Farma - Klinik-Apotek-Laboratorium,Dumai,Riau,4.6,Paul Figueroa,KF990,"Psycholeptics drugs, Anxiolytic drugs",565100,0.12,30,564421.88,169326.564,3.5,INV5343659,98
TRX2488613,1/1/2020,85946,Kimia Farma - Klinik-Apotek-Laboratorium,Mataram,Nusa Tenggara Barat,4,Anna Hodge,KF981,"Other analgesics and antipyretics, Salicylic acid and derivatives",314600,0.12,25,314222.48,78555.62,4.1,INV5046018,28
TRX9684904,1/1/2020,42584,Kimia Farma - Klinik & Apotek,Bima,Nusa Tenggara Barat,4.2,Jason Peterson,KF294,Antihistamines for systemic use,455900,0.15,25,455216.15,113804.0375,3.7,INV1456813,47
TRX2317116,1/1/2020,49520,Kimia Farma - Apotek,Subang,Jawa Barat,4.4,Billy Martinez,KF201,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",78400,0.03,15,78376.48,11756.472,4.4,INV5070545,69
TRX3126234,1/1/2020,58133,Kimia Farma - Klinik & Apotek,Garut,Jawa Barat,4.7,Micheal Newman,KF955,"Psycholeptics drugs, Hypnotics and sedatives drugs",51200,0.11,15,51143.68,7671.552,4.5,INV2946272,97
